,Job_Role,Company,Location,Job Experience,Skills,Job_Description
3205,Azure Data Engineer - Techno Functional,Makwiz Technologies,Kolkata,6-8,"Azure Data, Data Modelling, Azure, Data Engineering, Production deployment, ERD, BI, ETL",ETL Design – prepare ETL design specification documents with information on implementat...
3206,Data Engineer (Azure Databricks),Teradata,Pune,2-4,"Unix, RDBMS, Database design, Datastage, Consulting, Agile, Informatica, Teradata",Excellent in communication and able to work independently as needed along with being a ...
3207,Snowflake Data Engineer/Sr. Data Engineer,Maven Wave Partners,Gurgaon/Gurugram,3-7,"Performance tuning, Maven, Enterprise applications, Consulting, Javascript, Agile, Business intelligence, Monitoring",Experience working with snowpipe and other third party tools for ingesting data into Sn...
3208,Senior Data Engineer,Arcadia,Chennai,2-6,"github, orchestration, Analog, data governance, data integrity, Medical insurance, Analytics, SQL","Undergraduate and / or graduate degree in math, statistics, engineering, computer scien..."
3209,Senior Data Engineer,Urjanet Energy Solutions,Chennai,1-3,"github, orchestration, Analog, data governance, data integrity, Medical insurance, Analytics, SQL","Undergraduate and / or graduate degree in math, statistics, engineering, computer scien..."
3210,Principal Data Engineer (GCP),Automotivemastermind Inc.,Gurgaon/Gurugram,7-10,"Computer science, Data management, GCP, RDBMS, Scrum, Data quality, Troubleshooting, Automotive","Bachelor s Degree in Computer Science, Engineering, Math or related fields. Strong data..."
3211,Senior Software Development Engineer - Data Engineering - Remote,Godaddy,Remote,5-10,"Data Engineering, Query Optimization, Java, python, business, scala, Spark Streaming, Analytics","Experience in batch technologies like Hadoop, Hive, Athena, and Presto Experience in de..."
3212,Data Engineer,NeoSOFT,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Kalyan/ Dombivli, Maharashtra, Mumbai (All Areas)",2-4,"Data Engineering, Pandas, Numpy, SQL, Python, Engineering, Data",NeoSOFT Private Limited - We are SEI-CMMI Level- 5 and ISO 9001:2008 certified global I...
3213,Senior Data Engineer,Dynatech Systems,"Pune, Ahmedabad, Gurgaon/ Gurugram, Haryana",5-7,"Azure Synapse, T-SQL, Power Bi, Azure Analysis Services, Data Warehousing, Azure Data Factory, Azure Data Lake, Dimensional Modeling",The successful candidate will have good mentoring skills and will be required to suppor...
3214,WNS hiring For Azure Data Engineer - Gurgaon,WNS Holdings,"Gurgaon/ Gurugram, Haryana",5-7,"Pyspark, Azure Data Lake, Spark, Azure Data Factory, Azure Databricks, Data, Hiring, Microsoft Azure",Total Exp - 5 - 7 yearsEducation - MCA/BE/BTech/MTech/MSc (IT)/MBA (Systems/IT)Required...
3215,Senior Azure Data Engineer,Abzooba India Infotech,"Pune, Maharashtra",7-12,"Azure, Data Lake, Spark, SQL, Python, Azure Data Factory, Data Modelling, Data Testing","Mentor and provide technical guidance to junior data engineers, freshers / interns, fos..."
