,Job_Role,Company,Location,Job Experience,Skills,Job_Description
27,Hadoop Developer,Ni Consulting Services,Bengaluru,3-7,"Interpersonal skills, query optimization, Architecture, Data modeling, Hadoop, Database, Performance optimization, Informatica",7 Yrs . . Mar 6 . . Hadoop Developer : career Mar - 6 Gain a good working knowledge for...
28,Hadoop Developer,Diverse Lynx,Bengaluru,4-7,"Quality improvement, spark, Analytical, SCALA, Hadoop, Programming, Data processing, Operations",Strong work experience on Hadoop distributed computing framework (including apache Spar...
29,Hadoop Developers,Diverse Lynx,Bengaluru,4-8,"Unix, hive, Multithreading, DEC, spark, SCALA, Hadoop, Developer","Hadoop Developers- Skillet: Hadoop developers, Work location: Bengaluru (Bellandur RMZ ..."
30,Hadoop Developer,Burgeon IT Services Pvt ltd,Bangalore/Bengaluru,4-10,"IT services, hive, spark, Hadoop, Programming, big data, Data warehousing, Python","Must Have Skills . Hadoop Big Data . Hive, Spark, Pyspark, Impala . Python . Nice to ha..."
31,Hadoop Developers,Andor Tech,Bangalore/Bengaluru,3-8,"hive, Basic, Oracle SQL, spark, SCALA, Hadoop, Developer, Python",Designing and coding hadoop applications to analyze data collections.Creating data proc...
32,Hadoop Developer,Diverse Lynx,Bengaluru,3-7,"Linux, spark, Shell scripting, SCALA, Programming, Data processing, Open source, big data",Qualitative Requirements: -3 years technical experience working with Hadoop - Good unde...
33,Hadoop Developer,Diverse Lynx,Bengaluru,2-7,"hive, Web services, Hadoop, data privacy, hadoop development, data, web technologies, development",Job Description: Hadoop development and implementation. Loading from disparate data set...
34,Hadoop Developer,Pinnacle Consultz,Bangalore/Bengaluru,2-8,"Unix, Hibernate, Core Java, Linux, XML, MySQL, Shell scripting, Struts",The focus of this position is to provide solutions within the Hadoop environment using ...
35,Immediate need For ??Hadoop developer? - Bangalore- C2H,Unit Force Technologies Consulting Pvt Ltd.,Bangalore/Bengaluru,2-7,"python, Hive, java, spark, Scala, Kafka, Hadoop Developer, hadoop",Candidates with Immediate / Short NP are preferred as the position is very critical . ....
36,Hadoop Developer job openings For TOP MNC,ILABZ TECHNOLOGY LLP,Bangalore/Bengaluru,3-8,"Hadoop Developer, Hadoop Administrator, hadoop, top, administration, development, hadoop administration, hadoop development",Notice period :Immediate only Experience:3+ Yrs
37,Hadoop Developer,Diverse Lynx,Pune,2-7,"Hadoop, testing, developer, development, software testing, hadoop development","Experience with cloud computing platforms, such as Amazon Web Services (AWS) and Micros..."
38,hadoop developer,Diverse Lynx,Pune,4-9,"Capacity management, Linux, Acls, Shell scripting, Debugging, Hadoop, Troubleshooting, YARN","Good understanding of installing, administering supporting of Linux Operating System. ."
39,Hadoop Developer,CA One Tech,Pune,2-7,"Unix, hive, Coding, spark, Hadoop, Deployment, Project delivery, SQL",The resource should handle end to end project delivery right from requirements gatherin...
40,Hadoop Developer,Team4progress,"Mumbai, Pune, Chennai",4-8,"Pyspark, Data Quality, Hadoop, Cloud, Problem Solving, Data Warehousing, Aws, Etl",4 years of relevant experience in Data Engineering . . b: Ability to work in a fast-pac...
41,Hadoop Developer,Team4progress,"Mumbai, Pune, Chennai",4-8,"Pyspark, Data Quality, Hadoop, Cloud, Problem Solving, Data Warehousing, Aws, Etl",Must Have Skills :Hadoop
42,Hadoop Developer,Diverse Lynx,Dharmapuri,2-7,"Hadoop, testing, developer, software testing, development, hadoop development","Experience with cloud computing platforms, such as Amazon Web Services (AWS) and Micros..."
43,Hadoop Developer,Acme Services,Mumbai,3-7,"Computer science, Coding, Project management, Analytical, OOAD, Hadoop, Programming, Data processing",Bachelor s degree in software engineering or computer sciencePrevious experience as a h...
44,Hadoop Developer,Team4progress,Mumbai,3-8,"Linux, GCP, Analytical, Shell scripting, SCALA, Control-M, Scheduling, sqoop",Hands on Control M scheduling tool Unix scripting Good Analytical Skill Commanding Comm...
45,Hadoop Developer,Diverse Lynx,Chennai,2-7,"Performance tuning, Project development, Software design, UDF, Debugging, Hadoop, Software development life cycle, Scheduling",Job Description 1. Good understanding of Hadoop concepts including file system and Map ...
46,Hadoop Developer,Purview India Consulting And Services,Remote,5-9,"hive, continuous integration, GIT, spark, Shell scripting, Agile, Performance optimization, big data",5 years of Bachelor\s or Master\s degree with hands on experience in building data engi...
47,Cloudera Hadoop Developer,Anicalls,Noida,5-10,"cloudera, Service level, GIT, GCP, Hadoop, System troubleshooting, Open source, Operations","Education: Bachelors degree Candidate should be able to: Monitor, troubleshoot, and esc..."
48,Hadoop Developer,Team4progress,Chennai,4-8,"Pyspark, Data Quality, Hadoop, Cloud, Problem Solving, Data Warehousing, Aws, Etl",Must Have Skills :Hadoop Work Experience :4-8 years
49,Hadoop Developer / Support,Anicalls,Chennai,5-8,"Solution architecture, hive, data manipulation, Hadoop, Reconciliation, Programming, Data quality, Test cases",Expert level programming skills using Hadoop to meet the challenges of advanced data ma...
50,Hadoop Developer,Diverse Lynx,Mumbai,2-7,"SAP, Architecture, Technical design, SAP BW, Performance optimization, Agile methodology, Stored procedures, Troubleshooting",Job Requirements : Very strong demonstrated knowledge of SAP BW/4 HANA 7.0 including go...
51,Hadoop Developer - Kafka,Career Infosystem,Chennai,4-8,"Applications Implementation, Kafka cluster, ElasticSearch, Hadoop, Big Data, Kafka, Hadoop Developer, Clustering",Minimum years of experience : 4+
52,Hadoop Developer,Bizorion Consulting,Hybrid - Chennai,5-10,"hadoop, GCP, Hadoop Development, Development",". 5+ years of experience in big data tools: Hadoop, hive, Spark, Kafka, HBase, Flume, P..."
53,Hadoop Hortonworks Developer,Burgeon IT Services Pvt ltd,Hyderabad,5-10,"IT services, Performance tuning, Data migration, devops, Disaster recovery, Hadoop, Database administration, microsoft azure","Experience in creating data migration plans (Pre-Migration, Migration & Post Migration ..."
54,Hadoop Developer,Technoflair Solutions India,Hybrid - Hyderabad/Secunderabad,4-9,"Hadoop developer, Hadoop Development, Hadoop, Development",Experience as a hadoop developer Advanced knowledge of the hadoop ecosystem and its com...
55,Hadoop Developer,Krazy Mantra HR Solutions Pvt. Ltd,Hyderabad/Secunderabad,2-5,"Hadoop, Java, Scala, Kafka, Big data, Spark, SQL, Python",Immediate / 15 days Joiners OnlyGood experience in Big data / Hadoop EcosystemsStrong e...
56,Hadoop Developer,Krazy Mantra,"Hybrid - Pune, Bangalore/Bengaluru",5-10,"Hadoop, Spark, SCALA, AWS, Development, Hadoop Development",• Hands-on experience in implementation of Bigdata solutions • Spark and Scala/Java exp...
57,Hadoop Developer,Krazy Mantra,"Pune, Chennai",4-9,"Pyspark, Spark, Python, Development, Hadoop, Hadoop Development","Integration skills, for banking financial management accounting data sourcing. Mandator..."
58,Hadoop Developer - Java/big Data,Career Infosystem,Hyderabad/Secunderabad,3-8,"Java, Multithreading, Design Patterns, OOAD, Hadoop, Big Data, Spark, Production Support",Responsibilities : . You will be a member of an agile team working on below responsibil...
59,Big Data / GCP / Hadoop developer,HyreFox Consultants Pvt Ltd,Hyderabad/Secunderabad,5-7,"Assurance, Data migration, GCP, Analytical, Reconciliation, Hadoop, Database, Management","Expertise in Hadoop Components, Hive and cloud platform like GCP. Analyzing the method ..."
60,Big Data Developer - Hadoop / Spark / Hive,TrueView HR Consulting Pvt. Ltd,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"Big Data, Pyspark, Hive, Data Engineering, Hadoop, Kafka, Azure Databricks, Spark",Experience Mentoring students is desirable. - Knowledge of latest developments in Machi...
61,Hadoop cloud Developer with Python PySpark,Link Technologies,Remote,5-10,"cloud, hive, python, databricks, hadoop, Development, Pyspark, Data Bricks","• Python. Hadoop ecosystem technologies like HDFS, Spark. Big Data querying tools, such..."
62,Big Data Developer,Persistent,"Indore, Madhya Pradesh, Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Jaipur, Rajasthan, Bangalore/Bengaluru",3-5,"big data, python, java, performance tuning, scala, agile, Spark, sdlc",Women candidates preferred Experience developing code on distributed databases using Sp...
63,"Job Opportunity with Ness For ""Sr Hadoop Developer""",Ness,Hybrid - Bangalore/Bengaluru,3-6,"Hive, Sqoop, Shell Scripting, Kafka, hadoop, Pyspark, SR, Development",Roles & ResponsibilityDesign and build code across several new and existing software pr...
64,Hadoop Developer - Big Data/hive,Career Infosystem,Chennai,8-10,"Hive, Hadoop, Oozie, Impala, Hadoop Developer, Hadoop development, MapReduce, Development",Job Description:- 8-10 years overall with 3+ years in Bigdata Hadoop- Skills: Hadoop Kn...
65,Big Data/ Hadoop Developer/ Architect,Rconnect Systems India,Ghaziabad,3-8,"SOA, Hadoop, batch processing, J2Ee, it, SDLC, SQL, quality",Selfstarter resourceful personality with ability to manage pressure situations Should h...
66,Big Data/ Hadoop Developer/ Architect,eHook,Ghaziabad,3-8,"SOA, technical, Hadoop, batch processing, J2Ee, it, SDLC, SQL",Should have worked on open source products and contribution towards it would be an adde...
67,Bigdata Hadoop Developer,Alp Consulting,Hyderabad/Secunderabad,8-9,"Performance tuning, Automation, Debugging, SCALA, Hadoop, Programming, Ab Initio, big data",Exposure of Data ingestion into Data Lake on Big Data platform . Hands-on experience on...
68,Big Data Engineer - Hadoop/Scala,Career Infosystem,Hyderabad/Secunderabad,3-6,"Hadoop, Hive, Scala, Big Data, HDFS, Spark, MapReduce, Python",Good to have : . - Should have hands on experience in Python. . - An efficient interper...
69,Big Data Developer - Scrum/Hadoop/Spark,TRH Consultancy Services,Hyderabad/Secunderabad,6-10,"Big Data, Hadoop, Agile, Scrum, Spark, Development, Data, Big Data Administration","- Excellent experience with the Spark, Scala, HDFS, MapReduce, Hbase and In- Memory dat..."
70,Data Engineer,Cognizant,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-8,"Hive, data modeling, Hadoop, HBase, etl tool, oracle database, relational databases, sql",JOB DESCRIPTION:-4+ years of experience in building scalable and reliable data pipeline...
71,Hiring For Big Data Developer/ Lead (Spark & Scala with AWS) | Coforge,Coforge,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bangalore/Bengaluru, Greater Noida",4-9,"SCALA, Spark, AWS, Azure Data Factory, Hive, Hadoop, Big Data, Leadership",Experience Required: - 4 to 12 Years
72,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"data services, Data migration, SAP SD, Conflict resolution, ABAP, LSMW, SAP BusinessObjects, Application Developer",Educational Qualification : Minimum 15 years of full time education . Technical Experie...
