,Job_Role,Company,Location,Job Experience,Skills,Job_Description
802,Module Lead - Azure Data Engineer,Winwire Technologies,"Hyderabad/Secunderabad, Bangalore/Bengaluru",7-13,"RDBMS, Schema, SCALA, Module Lead, Data processing, big data, Data warehousing, Analytics",Creating Pipelines and integrations of multiple data sources using Azure data factory a...
803,Azure Data Engineer,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, New Delhi, Pune, Chennai, Bangalore/Bengaluru",8-13,"Azure Data Factory, ADF, Azure SQL Data Warehouse, Azure Data Lake, SQL Azure, Data warehousing, Data Lake, Factory",Design and develop new solutions on the Azure Cloud Platform specifically for Azure SQL...
804,Lead Data Engineer,Tredence,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6,"github, orchestration, Data management, Cloud Services, Management, Data warehousing, SQL, Data extraction",Experience in collaborating with business stakeholders to identify and meet data requir...
805,Azure Data Engineer - Data Modeling/Warehousing,Career Infosystem,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",5-10,"Azure, Data Pipeline, Data Lake, Data Modeling, Data Warehousing, Machine Learning, Data Integration, Microsoft Azure","The Ideal Candidate:The ideal candidate for this position has experience in Azure, data..."
806,Solutions Architect - Presales ( Big Data/ Data Engineering),Maveric,"Hybrid - Pune, Chennai, Bangalore/Bengaluru",8-13,"Bid Management, Presales, Data Engineering, Data, Management, Engineering, Architecture, Big Data",Excellent in working in a collaborative environment with support teams - Solution Archi...
807,Graduate Program in Big Data Engineering,Edureka,Bangalore/Bengaluru,2-5,"E-learning, PMI ACP, PMP, PDF, LMS, Project management, PMBOK, Customer service","Full time BCA, BE or BTechPerform content quality check for the user experience, functi..."
808,AWS Data Engineer,Ave Promagne,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",5-10,"AWS, Java, Hive, Git, Hadoop, Big Data, Kafka, HDFS","Experience with Git, CI / CD and Good to have Containerization like Docker or Open shif..."
809,Data Engineer | SQL | Oracle | Data Migration,4Bell Technology,"Hyderabad/Secunderabad, Bangalore/Bengaluru",4-9,"SQL, Data Engineer, data warehousing, data migration, Oracle, Warehouse, Data, Migration","Gather and understand data requirements, build complex data pipelines, and work to achi..."
810,Infogain India is Hiring For Data Engineer Lead,Infogain,"Hybrid - Noida, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",8-12,"databricks, etl, sql, ADF, data engineering, Data, Hiring, Oracle ADF",Experience working in Agile / Scrum/Kanban team environments We are having Immediate re...
811,Data Engineer - Google Cloud Platform,Telamon HR Solutions,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Delhi / NCR, Bangalore/Bengaluru",5-10,"GCP, DevOps, MySQL, Data engineering, Looker, Python, SQL, Engineering",- The incumbent should have hands on experience in data engineering and GCP data techno...
