,Job_Role,Company,Location,Job Experience,Skills,Job_Description
28,Data Science Associate Director,TRH Consultancy Services,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi",10-20,"Data Science, Data Science Architect, PyTorch, OpenCV, Data Scientist, Computer Vision, Deep Learning, ML","Bachelors or Masters degree in a related field (e.g ., Statistics, Mathematics, Compute..."
29,Sr. Data Scientist,Attri,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"amazon ec2, C++, Data analysis, Coding, Project management, Machine learning, Sensors, SQL","5+ years hands on experience with Python, TensorFlow, Spark, Airflow, and SQL is import..."
30,Research Scientist,Attri,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9,"amazon ec2, Health insurance, C++, Data analysis, github, Coding, Project management, Machine learning","A Masters/MS in CS, Machine Learning or in a highly quantitative field. 4+ years of tot..."
31,Data Science,Skillety,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-10,"Analytical skills, Unit operations, Staffing, Neural networks, Machine learning, Application development, MS Office, SQL",Collect and analyze data required for projects including web scrapping and external ven...
32,Data Scientist,Clarifai,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7,"Cloud computing, data science, Technical writing, GCP, Machine learning, Natural language processing, Open source, SQL","Cloud computing skills (AWS, GCP) . College degree BS (computer science, math, physics)..."
33,Senior Deep Learning / Data Scientist,Glossaread Technologies Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"deep learning, SAN, Quality standards, French, data science, Machine learning, Programming, SQL",5+ years of industry experience in data science and familiarity with NLP and deep learn...
34,Sr. Data Scientist - Python / ML / DL,AVE Promagne,"Noida, Mumbai, Chandigarh, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Coimbatore, Bangalore/Bengaluru",5-8,"Python, pandas, deep learning, SciPy, PyTorch, data mining, computer vision, Keras","5+ experience in knowledge discovery, exploratory data analysis, and custom algorithm d..."
35,Data Scientist - Engine Algorithm,Primo Hiring,"Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",1-3,"Data Visualization, Data Science, Data Scientist, Data Management, Data Modeling, Data Analytics, PhD, Analytics","We are looking for a Data Scientist, who will develop algorithms to make the Engine fas..."
36,Data Scientist - Engine Algorithm,Primo Hiring,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",1-3,"Python, Data Science, Data Scientist, Data Management, Data Visualization, Data Modeling, Data Analytics, Analytics","We are looking for a Data Scientist, who will develop algorithms to make the Engine fas..."
37,Data Science Associate Director,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru",10-20,"Data Science, PyTorch, OpenCV, Data Scientist, AI, ML, Python, TensorFlow","Bachelors or Masters degree in a related field (e.g ., Statistics, Mathematics, Compute..."
