,Job_Role,Company,Location,Job Experience,Skills,Job_Description
26,Business Analyst,Empoweringcpo Services,Ahmedabad(South Bopal),0-2,"advanced excel, secondary research, data analysis, dashboards, Analysis, Data, Excel, Research","Preferably: BE or B Tech or MBA (Finance). Strong written, verbal and collaboration ski..."
27,Business Analyst,Transganization,Mumbai,0-4,"Basic, Usage, Excel, Business Analyst, Database management, Senior Analyst, Analytical, IT support",. A successful candidate should demonstrate Visiting clients place as & when required ....
28,Urgent Hiring : Business Analyst,Sourcedesk Global Pvt Ltd,Kolkata(Salt Lake),0-5,"Business Documentation, Requirement Gathering, Market Research, Stakeholder Management, Technical Documentation, Gap Analysis, Use Cases, FRS","Bachelor degree in a related field (such as business, information technology, or digita..."
29,Business Analyst,Pure Cultured Diamonds,"Mumbai, Maharashtra",5-10,"Business Analytics, Analytical Skills, Problem Solving, Analytical, Business analysis, Analytics, Analytical Skill","Gems & Jewellery - Business AnalystCreate reports, dashboards and visualizations to und..."
30,Business Analyst,Arvind Technocrats & Engineers,"New Delhi, Delhi(Okhla)",9-10,"Business Analytics, Analytics, Business analysis",Experience leading and developing top performing teams. . A history of leading and supp...
31,Business Analyst,DIN Engineering Services (DIN),"Noida, Uttar Pradesh, Greater Noida, Uttar Pradesh, Delhi / NCR",1-3,"Business Excellence, IT Services, Data Reporting, Business Analysis, Competitor Analysis, Strategic Thinking, Business Analytics, Project Management",- BE / B Tech + Regular MBA degree from a reputed Institute - Must have experience of w...
32,Business Analyst,Royal Sundaram General Insurance,"Chennai, Tamil Nadu",3-8,"Business Analysis, insurance, Business Analytics, Analysis, Analytics",The candidate must be a graduate with minimum 3 years experience as a Business Analyst ...
33,Business Analyst - CSAT,Experis,"Hybrid - Pune, Maharashtra",4-8,"data analysis, Business Analytics, CSAT, analytics, Customer Satisfaction, Stakeholder Management, Business analysis, Data",Must have: . 4+ years analytics experience Should have good experience in Qualtrics sur...
34,Business Analyst,Corra,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-8,"Computer science, ERP, CMS, Agile, Workflow, Scrum, Adobe, JIRA",Create and manage a list of required features the Product Backlog in JIRA and ensure th...
35,Business Analyst,Corra,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-7,"Computer science, ERP, Business analysis, CMS, Agile, Workflow, Scrum, Adobe",Create and manage a list of required features the Product Backlog in JIRA and ensure th...
36,Business Analyst,Luxoft,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-12,"Service level, Business Analyst, Business analysis, XML, Agile, PLSQL, JSON, Investment banking",Projects are found in the most evolving area of the Investment Banking domain - Asset M...
37,Business Analyst,Neudesic Technologies,"Kochi/ Cochin, Kerala, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",10-20,"Requirement Gathering, User Stories, business analysis, bdd, Brd, Wireframe, Scrum, gherkin",The BA should also have deep understanding of business concepts and processes and shoul...
38,Opening For Business Analyst !,Jaypee Brothers Medical Publishers,"New Delhi, Delhi",1-6,"business analysis, Accounting, Analysis",Any other task as per the requirement .
39,Business Analyst,Iris Software,"Hybrid - Noida, Uttar Pradesh, Ghaziabad, Uttar Pradesh, Delhi / NCR",4-5,"tfs, requirement gathering, brd, business analysis, frd, excel, visio, agile",". Req Gathering: Good hands on capturing req, Diff methods of req capturing, Knowledge ..."
40,Business Analyst - Big4,BK Talent Lease Consulting,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",3-8,"Business analysis, Power BI, Waterfall, Project management, agile, SQL, Bi, Big4","Ensuring E2E delivery - requirement gathering, test execution plan, defining scope, ide..."
41,Business Analyst,Webmobril Technologies,Bangalore/Bengaluru,0-2,"Business Analyst, Project management, Production, wireframing, international clients, Monitoring, axure, Management",Managing projects and monitoring performance . Having good communication skill to deal ...
42,Business Analyst (BA) - Analytics,Phonepe,"Bangalore/ Bengaluru, Karnataka(Bellandur)",1-3,"Communication Skills, Excel, SQL, Bi Tools, problem solving, Analytics, Python, Bi",- Minimum 6 M to 3 years of analytics experience in relevant roles Experience in buildi...
43,Business Analyst,Capgemini,"Pune, Bangalore/Bengaluru",6-11,"test cases, Data Warehousing, Teradata, SQL, risk management, data management, user acceptance testing, data transformation","Understand changes required to risk applications / solutions, regulatory and compliance..."
44,Microsoft Dynamics NAV Business Analyst,Accenture,Bangalore/Bengaluru,6-8,"ERP, Coding, SSRS, Consulting, SQL, Navision, Microsoft Dynamics Navision, Microsoft dynamics NAV",Project Role : Business Analyst Project Role Description : Analyze an organization and ...
45,Business Analyst,Broadridge,"Hyderabad/Secunderabad, Bangalore/Bengaluru",0-2,"Performance tuning, Business Analyst, Deployment, SQL, Performance, Business analysis",Knowledge of SQL is a must Should have experience in Performance tuning of applications...
46,Business Analyst,Medi Assist,Bangalore/Bengaluru,0-3,"Business Analytics, Business Requirement Analysis, requirement gathering, data analysis, sql queries, google data studio, bi, business analysis","Excellent planning, organizational, and time management skills . Education: Any graduat..."
47,Business Analyst,Allegis Group,"Hybrid - Hyderabad/ Secunderabad, Telangana",4-9,"iso, Requirement Gathering, cross border, Swift Payments, payment investigation, post processing, Global stakeholder management, Cash Management",Preferred candidate profile
48,Business Analyst,Meesho,Bangalore/Bengaluru,1-3,"advance sql, python, business management, business analysis, investment, business development, technology solutions, research","About the Team As Business Analysts, it’s on us to dive into data and derive insights f..."
49,Business Analyst,Aspire Systems,"Hybrid - Kochi/ Cochin, Kerala, Chennai, Bangalore/Bengaluru",10-15,"User Stories, business analysis, transport management system, Logistics, Gap Analysis, Technical Documentation, elicitation, Use Cases",Skill - Technical Business Analyst . Domain Experience - Transportation & Logistics (Mu...
50,Business Analyst,LeadSquared,Bangalore/Bengaluru,1-5,"Business Analyst, Customer satisfaction, Field sales, Manager Technology, Customer support, Management, CRM, marketing automation",A bachelor s or master s degree engineering or technologyFlexibility to travel is requi...
51,Business Analyst,Royal Cyber,Bangalore/Bengaluru,2-4,"SAP, Google Analytics, Business Analyst, Agile scrum, Business analysis, Analytical, CMS, JIRA",Develop UI / UX or other artifacts to facilitate requirement elaborations as needed . E...
52,Business Analyst,Wissen Infotech,Hybrid - Bangalore/Bengaluru,3-5,"Agile Methodology, business analysis, user stories, JIRA, business requirements, Agile, Usage, Analysis",Skills and Experience: . 3+ years Business Analysis experienceExperience with Agile met...
53,Business Analyst,Tread,Bangalore/Bengaluru,1-3,"Excel, Business analyst, sql, Python, Business analysis","Bachelors in Engineering, Computer Science, Math, Statistics, or related discipline fro..."
54,Business Analyst,Smartncode,Hyderabad/Secunderabad,1-5,"Requirement Gathering, business analysis, Brd, Srs, communication skills, Gap Analysis, Business Intelligence, Use Cases",Experience defining requirements and using data and metrics to draw business insights M...
55,Business Analyst - DS,Brillio,Bangalore/Bengaluru,3-6,"Cloud computing, Product engineering, Business Analyst, SAS, Data management, Machine learning, SPSS, Distribution system",Must be able to work across different domains and get a quick sense of the business pro...
56,Business Analyst,Systechcorp Inc,"Hyderabad/ Secunderabad, Telangana",4-8,"VBA, SQL, Python, Rpa, Automation, Data Engineering, Macros, Business analysis",Shift: RotationalExperience: 3-8 years
57,Business Analyst,Systech Corp Inc,Hybrid - Hyderabad/Secunderabad,4-8,"Automation, Data Engineering, vba, sql, Python, rpa, business analysis, Macros",Shift : Rotational . Budget Per Month : 60K . Experience : 3-8 years . Work Location : ...
58,Business Analyst,Systechcorp Inc,"Hybrid - Hyderabad/ Secunderabad, Telangana",4-8,"rpa, vba, Macros, SQL, Python, Automation, Data Engineering, Business analysis",Shift: RotationalExperience: 3-8 years. Work Location: Hyderabad
59,Business Analyst,S.A.W IT Services Pvt Ltd,Hyderabad/Secunderabad,5-7,"Business Analysis, Software Requirement Specification, user stories, Jira, Specifications, Requirements, Usage, Analysis",Minimum of 5 years of experience as BA (not the overall experience but BA specific expe...
60,Business Analyst,Webmobril Technologies,Chandigarh,0-2,"Business Analyst, Project management, Production, wireframing, international clients, Monitoring, axure, Client",Managing projects and monitoring performance . Having good communication skill to deal ...
61,Business Analyst,Osource India,"Navi Mumbai, Maharashtra",0-1,"Good Communication In English, Critical Thinking, Negotiation, Problem Solving, Critical care, English, Business analysis, Communication skills",Role & responsibilities Provide sustainable business-focused support as subject matter ...
62,Business Analyst,Transganization,Mumbai,0-4,"Analyst, Business Analyst, Database management, Analytical, IT support, PHP, HTML, Proof reading",. A successful candidate should demonstrate Visiting client s place as & when required ...
63,Business Analyst,Ajatus Software,Bhubaneswar,0-3,"Excel, Business Analyst, Business analysis, Analytical, Microsoft applications, Client engagement, Management, Powerpoint",Requirements : . A bachelors degree in business or related field or an MBA A minimum of...
